intent,question
tarif_pbb,min pbb medan tarifnya brp persen
tarif_pbb,bang brp tarif pbb p2 sekarang dong
tarif_pbb,kak range tarif pbb p2 medan ya
tarif_pbb,permisi njop sekian masuk tarif pbb berapa
tarif_pbb,tarif pbb p2 di medan brp ya
tarif_pbb,min pbb medan tarifnya brp persen dong
tarif_pbb,bang brp tarif pbb p2 sekarang ya
tarif_pbb,permisi njop sekian masuk tarif pbb brp ya
tarif_pbb,tarif pbb p2 di medan brp dong
tarif_pbb,min pbb medan tarifnya brp persen ya
tarif_pbb,bang berapa tarif pbb p2 sekarang dong
tarif_pbb,kak range tarif pbb p2 medan dong
tarif_pbb,permisi njop sekian masuk tarif pbb brp dong
tarif_pbb,min pbb medan tarifnya berapa persen nih
tugas_fungsi,fungsi bapenda ap
tugas_fungsi,min apa tugas bapenda kota medan
tugas_fungsi,bang fungsi bapenda medan apa saja dong
tugas_fungsi,kak peran bapenda dalam pajak daerah ya
tugas_fungsi,permisi apa kewenangan bapenda medan
tugas_fungsi,bapenda bertanggung jawab atas apa ya
tugas_fungsi,min kasih tau dong fungsi bapenda medan dong
tugas_fungsi,bang fungsi bapenda ap ya
tugas_fungsi,kak apa tugas bapenda kota medan ya
tugas_fungsi,permisi fungsi bapenda medan apa saja ya
tugas_fungsi,peran bapenda dalam pajak daerah dong
tugas_fungsi,min apa kewenangan bapenda medan ya
tugas_fungsi,bang bapenda bertanggung jawab atas apa dong
tugas_fungsi,kak kasih tau dong fungsi bapenda medan dong
tugas_fungsi,permisi fungsi bapenda ap dong
wajib_pajak,siapa yang disebut wajib pajak
wajib_pajak,min siapa wajib pajak daerah
wajib_pajak,bang apa usaha kecil termasuk wajib pajak dong
wajib_pajak,kak kapan seseorang menjadi wajib pajak ya
wajib_pajak,permisi siapa saja yang wajib bayar pajak
wajib_pajak,siapa aja yg harus bayar pajak ya
wajib_pajak,min aku kena pajak gak ya
wajib_pajak,bang siapa yang disebut wajib pajak ya
wajib_pajak,kak siapa wajib pajak daerah ya
wajib_pajak,permisi apa usaha kecil termasuk wajib pajak ya
wajib_pajak,kapan seseorang menjadi wajib pajak dong
wajib_pajak,min siapa saja yang wajib bayar pajak ya
wajib_pajak,bang siapa aja yg harus bayar pajak dong
wajib_pajak,kak aku kena pajak gak ya
wajib_pajak,permisi siapa yang disebut wajib pajak dong
